2026-05-06 15:15:26.639 [main] INFO  [] e.o.c.ChatServiceApplication - The following 1 profile is active: "local"
2026-05-06 15:15:27.023 [main] INFO  [] o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8082 (http)
2026-05-06 15:15:27.027 [main] INFO  [] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2026-05-06 15:15:27.027 [main] INFO  [] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-06 15:15:27.027 [main] INFO  [] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.18]
2026-05-06 15:15:27.040 [main] INFO  [] o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 385 ms
2026-05-06 15:15:27.086 [main] INFO  [] n.d.b.g.c.a.GrpcClientAutoConfiguration - Detected grpc-netty-shaded: Creating ShadedNettyChannelFactory + InProcessChannelFactory
2026-05-06 15:15:28.081 [main] INFO  [] o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-05-06 15:15:28.171 [main] INFO  [] o.s.m.s.b.SimpleBrokerMessageHandler - Starting...
2026-05-06 15:15:28.172 [main] INFO  [] o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@1f72fbd1]]
2026-05-06 15:15:28.172 [main] INFO  [] o.s.m.s.b.SimpleBrokerMessageHandler - Started.
2026-05-06 15:15:28.172 [main] INFO  [] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2026-05-06 15:15:28.175 [main] INFO  [] o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8082 (http) with context path '/'
2026-05-06 15:15:28.178 [main] INFO  [] e.o.c.ChatServiceApplication - Started ChatServiceApplication in 1.7 seconds (process running for 1.908)
2026-05-06 15:16:28.175 [MessageBroker-1] INFO  [] o.s.w.s.c.WebSocketMessageBrokerStats - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0]
2026-05-06 15:17:10.659 [http-nio-8082-exec-1] INFO  [] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-06 15:17:10.659 [http-nio-8082-exec-1] INFO  [] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-05-06 15:17:10.660 [http-nio-8082-exec-1] INFO  [] o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-05-06 15:17:10.666 [http-nio-8082-exec-1] WARN  [c78917e743ef] o.s.w.s.h.HandlerMappingIntrospector - Cache miss for REQUEST dispatch to '/api/chat-sessions/a702516e-c8ad-4b66-8fff-7766c5e26862/answer-rating' (previous null). Performing CorsConfiguration lookup. This is logged once only at WARN level, and every time at TRACE.
2026-05-06 15:17:10.700 [http-nio-8082-exec-1] INFO  [c78917e743ef] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-05-06 15:17:10.759 [http-nio-8082-exec-1] INFO  [c78917e743ef] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@3aec8e46
2026-05-06 15:17:10.760 [http-nio-8082-exec-1] INFO  [c78917e743ef] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
